1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 8 9 5 2 3 4 6 1 
8 9 6 7 4 2 5 1 3 
9 7 5 6 3 4 1 2 8 
---------1----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 8 9 5 2 3 4 6 1 
9 7 5 6 3 4 1 2 8 
8 9 6 7 4 2 5 1 3 
---------2----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 8 9 5 2 4 1 6 3 
8 9 6 7 4 3 5 2 1 
9 7 5 6 3 2 4 1 8 
---------3----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 8 9 5 2 4 1 6 3 
9 7 5 6 3 2 4 1 8 
8 9 6 7 4 3 5 2 1 
---------4----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 8 9 5 3 2 4 6 1 
8 9 6 7 2 4 5 1 3 
9 7 5 6 4 3 1 2 8 
---------5----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 8 9 5 3 2 4 6 1 
9 7 5 6 4 3 1 2 8 
8 9 6 7 2 4 5 1 3 
---------6----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 8 9 5 4 2 1 6 3 
8 9 6 7 3 4 5 2 1 
9 7 5 6 2 3 4 1 8 
---------7----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 8 9 5 4 2 1 6 3 
9 7 5 6 2 3 4 1 8 
8 9 6 7 3 4 5 2 1 
---------8----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 8 9 6 2 4 5 1 3 
8 9 5 7 3 2 4 6 1 
9 7 6 5 4 3 1 2 8 
---------9----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 8 9 6 2 4 5 1 3 
9 7 6 5 4 3 1 2 8 
8 9 5 7 3 2 4 6 1 
---------10----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 8 9 6 3 4 5 2 1 
8 9 5 7 4 2 1 6 3 
9 7 6 5 2 3 4 1 8 
---------11----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 8 9 6 3 4 5 2 1 
9 7 6 5 2 3 4 1 8 
8 9 5 7 4 2 1 6 3 
---------12----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 8 9 6 4 2 5 1 3 
8 9 5 7 2 3 4 6 1 
9 7 6 5 3 4 1 2 8 
---------13----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 8 9 6 4 2 5 1 3 
9 7 6 5 3 4 1 2 8 
8 9 5 7 2 3 4 6 1 
---------14----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 8 9 6 4 3 5 2 1 
8 9 5 7 2 4 1 6 3 
9 7 6 5 3 2 4 1 8 
---------15----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 8 9 6 4 3 5 2 1 
9 7 6 5 3 2 4 1 8 
8 9 5 7 2 4 1 6 3 
---------16----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 9 5 6 2 3 4 1 8 
8 7 9 5 4 2 1 6 3 
9 8 6 7 3 4 5 2 1 
---------17----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 9 5 6 2 3 4 1 8 
9 8 6 7 3 4 5 2 1 
8 7 9 5 4 2 1 6 3 
---------18----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 9 5 6 3 2 4 1 8 
8 7 9 5 2 4 1 6 3 
9 8 6 7 4 3 5 2 1 
---------19----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 9 5 6 3 2 4 1 8 
9 8 6 7 4 3 5 2 1 
8 7 9 5 2 4 1 6 3 
---------20----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 9 5 6 3 4 1 2 8 
8 7 9 5 2 3 4 6 1 
9 8 6 7 4 2 5 1 3 
---------21----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 9 5 6 3 4 1 2 8 
9 8 6 7 4 2 5 1 3 
8 7 9 5 2 3 4 6 1 
---------22----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 9 5 6 4 3 1 2 8 
8 7 9 5 3 2 4 6 1 
9 8 6 7 2 4 5 1 3 
---------23----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 9 5 6 4 3 1 2 8 
9 8 6 7 2 4 5 1 3 
8 7 9 5 3 2 4 6 1 
---------24----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 9 6 5 2 3 4 1 8 
8 7 9 6 3 4 5 2 1 
9 8 5 7 4 2 1 6 3 
---------25----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 9 6 5 2 3 4 1 8 
9 8 5 7 4 2 1 6 3 
8 7 9 6 3 4 5 2 1 
---------26----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 9 6 5 3 2 4 1 8 
8 7 9 6 4 3 5 2 1 
9 8 5 7 2 4 1 6 3 
---------27----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 9 6 5 3 2 4 1 8 
9 8 5 7 2 4 1 6 3 
8 7 9 6 4 3 5 2 1 
---------28----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 9 6 5 3 4 1 2 8 
8 7 9 6 4 2 5 1 3 
9 8 5 7 2 3 4 6 1 
---------29----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 9 6 5 3 4 1 2 8 
9 8 5 7 2 3 4 6 1 
8 7 9 6 4 2 5 1 3 
---------30----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 9 6 5 4 3 1 2 8 
8 7 9 6 2 4 5 1 3 
9 8 5 7 3 2 4 6 1 
---------31----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
7 9 6 5 4 3 1 2 8 
9 8 5 7 3 2 4 6 1 
8 7 9 6 2 4 5 1 3 
---------32----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 7 9 5 2 3 4 6 1 
7 9 5 6 3 4 1 2 8 
9 8 6 7 4 2 5 1 3 
---------33----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 7 9 5 2 3 4 6 1 
9 8 6 7 4 2 5 1 3 
7 9 5 6 3 4 1 2 8 
---------34----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 7 9 5 2 4 1 6 3 
7 9 5 6 3 2 4 1 8 
9 8 6 7 4 3 5 2 1 
---------35----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 7 9 5 2 4 1 6 3 
9 8 6 7 4 3 5 2 1 
7 9 5 6 3 2 4 1 8 
---------36----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 7 9 5 3 2 4 6 1 
7 9 5 6 4 3 1 2 8 
9 8 6 7 2 4 5 1 3 
---------37----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 7 9 5 3 2 4 6 1 
9 8 6 7 2 4 5 1 3 
7 9 5 6 4 3 1 2 8 
---------38----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 7 9 5 4 2 1 6 3 
7 9 5 6 2 3 4 1 8 
9 8 6 7 3 4 5 2 1 
---------39----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 7 9 5 4 2 1 6 3 
9 8 6 7 3 4 5 2 1 
7 9 5 6 2 3 4 1 8 
---------40----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 7 9 6 2 4 5 1 3 
7 9 6 5 4 3 1 2 8 
9 8 5 7 3 2 4 6 1 
---------41----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 7 9 6 2 4 5 1 3 
9 8 5 7 3 2 4 6 1 
7 9 6 5 4 3 1 2 8 
---------42----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 7 9 6 3 4 5 2 1 
7 9 6 5 2 3 4 1 8 
9 8 5 7 4 2 1 6 3 
---------43----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 7 9 6 3 4 5 2 1 
9 8 5 7 4 2 1 6 3 
7 9 6 5 2 3 4 1 8 
---------44----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 7 9 6 4 2 5 1 3 
7 9 6 5 3 4 1 2 8 
9 8 5 7 2 3 4 6 1 
---------45----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 7 9 6 4 2 5 1 3 
9 8 5 7 2 3 4 6 1 
7 9 6 5 3 4 1 2 8 
---------46----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 7 9 6 4 3 5 2 1 
7 9 6 5 3 2 4 1 8 
9 8 5 7 2 4 1 6 3 
---------47----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 7 9 6 4 3 5 2 1 
9 8 5 7 2 4 1 6 3 
7 9 6 5 3 2 4 1 8 
---------48----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 9 5 7 2 3 4 6 1 
7 8 9 6 4 2 5 1 3 
9 7 6 5 3 4 1 2 8 
---------49----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 9 5 7 2 3 4 6 1 
9 7 6 5 3 4 1 2 8 
7 8 9 6 4 2 5 1 3 
---------50----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 9 5 7 2 4 1 6 3 
7 8 9 6 4 3 5 2 1 
9 7 6 5 3 2 4 1 8 
---------51----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 9 5 7 2 4 1 6 3 
9 7 6 5 3 2 4 1 8 
7 8 9 6 4 3 5 2 1 
---------52----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 9 5 7 3 2 4 6 1 
7 8 9 6 2 4 5 1 3 
9 7 6 5 4 3 1 2 8 
---------53----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 9 5 7 3 2 4 6 1 
9 7 6 5 4 3 1 2 8 
7 8 9 6 2 4 5 1 3 
---------54----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 9 5 7 4 2 1 6 3 
7 8 9 6 3 4 5 2 1 
9 7 6 5 2 3 4 1 8 
---------55----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 9 5 7 4 2 1 6 3 
9 7 6 5 2 3 4 1 8 
7 8 9 6 3 4 5 2 1 
---------56----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 9 6 7 2 4 5 1 3 
7 8 9 5 3 2 4 6 1 
9 7 5 6 4 3 1 2 8 
---------57----------
1 2 3 4 5 6 7 8 9 
2 1 4 3 6 5 8 9 7 
3 4 1 2 7 8 9 5 6 
4 3 2 1 8 9 6 7 5 
5 6 7 8 9 1 2 3 4 
6 5 8 9 1 7 3 4 2 
8 9 6 7 2 4 5 1 3 
9 7 5 6 4 3 1 2 8 
7 8 9 5 3 2 4 6 1 
---------58----------
